==> Args
    - save_data : ../data/iwslt14
    - work_dir : PATH_TO_ACTOR_FOLDER/20210408-131727
    - nemb : 256
    - nhid : 256
    - natthid : 256
    - nlayer : 1
    - drope : 0.0
    - droph : 0.3
    - att_mode : dotprod
    - input_feed : False
    - seed : 1234
    - cuda : True
    - epochs : 30
    - train_bs : 2
    - valid_bs : 2
    - test_bs : 2
    - param_init : 0.1
    - optim : sgd
    - lr : 0.6
    - grad_clip : 5.0
    - start_decay : 0
    - lr_decay : 0.5
    - num_decay : 6
    - log_interval : 200
    - debug : False
    - test_only : False
    - beamsize : 5
    - ppl_anneal : False
==> Vocabulary
    - vocab size: src=32038, tgt=22811
    - special symbols [src]: <pad>=0, <unk>=1
    - special symbols [tgt]: <pad>=0, <unk>=1, <bos>=2, <eos>=3
==> Initalize actor
    - number of params: 20956443
=========================================================================================
| epoch   0 | 19000/76674 batches | lr 0.600000 | ms/batch   7.6 | loss  4.47 | ppl    87.25 
| epoch   0 | 19200/76674 batches | lr 0.600000 | ms/batch   7.7 | loss  4.62 | ppl   101.33 
| epoch   0 | 19400/76674 batches | lr 0.600000 | ms/batch   7.6 | loss  4.51 | ppl    90.59 
| epoch   0 | 19600/76674 batches | lr 0.600000 | ms/batch   7.5 | loss  4.49 | ppl    88.71 
| epoch   0 | 19800/76674 batches | lr 0.600000 | ms/batch   7.6 | loss  4.57 | ppl    96.48 
| epoch   0 | 20000/76674 batches | lr 0.600000 | ms/batch   7.6 | loss  4.46 | ppl    86.92 
| epoch   0 | 20200/76674 batches | lr 0.600000 | ms/batch   7.6 | loss  4.49 | ppl    89.43 
| epoch   0 | 20400/76674 batches | lr 0.600000 | ms/batch   7.6 | loss  4.46 | ppl    86.48 
| epoch   0 | 20600/76674 batches | lr 0.600000 | ms/batch   7.6 | loss  4.51 | ppl    90.87 
| epoch   0 | 20800/76674 batches | lr 0.600000 | ms/batch   7.6 | loss  4.44 | ppl    85.01 
